app_name,count,mean,positive_rate,weighted_score
Kult: Heretic Kingdoms,19,0.6842105263157895,0.8421052631578947,0.7032665109899359
Kumoon : Ballistic Physics Puzzle,29,0.3103448275862069,0.6551724137931034,0.5994337297619556
Kung Fu Strike: The Warrior's Rise,337,0.5548961424332344,0.7774480712166172,0.7293749935637281
Kung Fury: Street Rage,9,1.0,1.0,0.75
Kyn,70,0.3142857142857143,0.6571428571428571,0.6135906316143643
Kyoto Colorful Days,9,0.3333333333333333,0.6666666666666666,0.5833333333333333
L.A. Noire,5121,0.667643038469049,0.8338215192345245,0.8083026309672892
LA Cops,93,0.2903225806451613,0.6451612903225806,0.6081886768313413
LASTFIGHT,24,0.8333333333333334,0.9166666666666666,0.7585539198447016
LEGO® Batman™ 2: DC Super Heroes,304,0.7236842105263158,0.8618421052631579,0.7971769489552241
LEGO® Batman™ 3: Beyond Gotham,774,0.6175710594315246,0.8087855297157622,0.7671091044144013
LEGO® Harry Potter: Years 1-4,526,0.5133079847908745,0.7566539923954373,0.7177493536787686
LEGO® Harry Potter: Years 5-7,155,0.6645161290322581,0.832258064516129,0.7596007666205523
LEGO® Indiana Jones™ 2: The Adventure Continues,44,0.5454545454545454,0.7727272727272727,0.6860187047594509
LEGO® Jurassic World,895,0.5687150837988827,0.7843575418994413,0.7476181905799664
LEGO® MARVEL Super Heroes,3229,0.8271910808299783,0.9135955404149891,0.8772709582608815
LEGO® MARVEL's Avengers,392,0.5459183673469388,0.7729591836734694,0.7277623789629092
LEGO® Pirates of the Caribbean The Video Game,96,0.3958333333333333,0.6979166666666666,0.6479817325327456
LEGO® STAR WARS™: The Force Awakens,553,0.6600361663652803,0.8300180831826401,0.7807394101274878
LEGO® Star Wars™ III: The Clone Wars™,255,0.7490196078431373,0.8745098039215686,0.8039575772618401
LEGO® Star Wars™: The Complete Saga,1063,0.8287864534336783,0.9143932267168391,0.8635524211732386
LEGO® The Hobbit™,899,0.3414905450500556,0.6707452725250278,0.648714329959789
LEGO® The Lord of the Rings™,1197,0.797827903091061,0.8989139515455304,0.8516890150136118
LEGO® Worlds,5320,0.6251879699248121,0.812593984962406,0.7889704501335518
LEGOⓇ Indiana Jones™: The Original Adventures,73,0.4520547945205479,0.726027397260274,0.6641593700866271
LIGHTNING RETURNS: FINAL FANTASY XIII,970,0.6659793814432989,0.8329896907216495,0.7909955986351432
LILT,5,1.0,1.0,0.7084432256108616
LIMBO,8062,0.8593401141156041,0.929670057057802,0.9010175639346342
LISA,3481,0.9120942257971847,0.9560471128985923,0.9168897881966833
LONE WOLF: Horizon,41,-0.07317073170731707,0.4634146341463415,0.47529037399946383
LOOP: A Tranquil Puzzle Game,50,0.92,0.96,0.8191593602996399
LOST ORBIT,28,0.9285714285714286,0.9642857142857143,0.7958013288993432
LOVE,548,0.8138686131386861,0.906934306569343,0.846004352099984
LUDWIG,30,0.0,0.5,0.5
LUFTRAUSERS,2120,0.8273584905660377,0.9136792452830189,0.8724433707617545
LUMBERMANCER,25,0.92,0.96,0.787492329393005
LUMEN,3,1.0,1.0,0.6705937099936721
LUXIS,5,1.0,1.0,0.7084432256108616
LUXOR: 5th Passage ,14,0.2857142857142857,0.6428571428571429,0.5796358732070145
LYNE,2615,0.9365200764818356,0.9682600382409178,0.9244397104094406
La Peri,99,0.5151515151515151,0.7575757575757576,0.6931818181818181
La-Mulana,1021,0.6963761018609207,0.8481880509304603,0.804948729194989
Labyrinth,93,0.8064516129032258,0.9032258064516129,0.8005241023092814
Labyrinth Simulator,26,0.0,0.5,0.5
Labyrinthine Dreams,172,0.6627906976744186,0.8313953488372093,0.7611484105856521
Labyronia RPG,354,0.4632768361581921,0.731638418079096,0.6920912526765081
Labyronia RPG 2,111,0.5855855855855856,0.7927927927927928,0.7220496597576341
Ladra,12,0.8333333333333334,0.9166666666666666,0.7241544051916865
Laid In America,16,0.875,0.9375,0.7510441456584263
Lakeview Cabin Collection,352,0.8693181818181818,0.9346590909090909,0.8603242940686247
Lamia Must Die,122,0.26229508196721313,0.6311475409836066,0.6003414903183427
Lamia's Game Room,58,0.10344827586206896,0.5517241379310345,0.5365671226740566
Lance A Lot: Classic Edition,20,0.7,0.85,0.7100282553576787
Land It!,8,0.75,0.875,0.6814578107542375
Lands of Hope Redemption,11,0.2727272727272727,0.6363636363636364,0.5718230884388454
Lantern,5,0.2,0.6,0.5416886451221723
Lantern Forge,170,0.15294117647058825,0.5764705882352941,0.5602040319037067
Lapland Solitaire,6,0.0,0.5,0.5
Lara Croft GO,65,0.7846153846153846,0.8923076923076924,0.7811627970860113
Lara Croft and the Guardian of Light,963,0.8317757009345794,0.9158878504672897,0.8633249240083453
Lara Croft and the Temple of Osiris,420,-0.12857142857142856,0.4357142857142857,0.4461405047839532
Larva Mortus,259,0.5444015444015444,0.7722007722007722,0.7211608579075325
Laser Disco Defenders,11,1.0,1.0,0.7633513242757667
Laserlife,42,0.6190476190476191,0.8095238095238095,0.7097604513192397
Last Days,1,1.0,1.0,0.5941636475090435
Last Days of Old Earth,21,0.8095238095238095,0.9047619047619048,0.745140864359267
Last Days of Spring 2,3,0.3333333333333333,0.6666666666666666,0.5568645699978907
Last Days of Spring Visual Novel,49,0.10204081632653061,0.5510204081632653,0.5353058202973341
Last Dream,296,0.7094594594594594,0.8547297297297297,0.7908263651542979
Last Half of Darkness - Society of the Serpent Moon,12,0.3333333333333333,0.6666666666666666,0.5896617620766746
Last Heroes,18,0.0,0.5,0.5
Last Heroes 2,8,0.25,0.625,0.5604859369180792
Last Heroes 3,8,0.75,0.875,0.6814578107542375
Last Hope - Tower Defense,97,0.6494845360824743,0.8247422680412371,0.7430614567726427
Last Horizon,65,0.6615384615384615,0.8307692307692308,0.7370588289156565
Last Inua,68,0.23529411764705882,0.6176470588235294,0.5847594467953683
Last Knight: Rogue Rider Edition,105,0.5428571428571428,0.7714285714285715,0.704751311391048
Last Will,57,0.5087719298245614,0.7543859649122807,0.6794572256484332
Last Word,197,0.7563451776649747,0.8781725888324873,0.8012019777834363
Lavapools,9,1.0,1.0,0.75
Layers of Fear,3083,0.8488485241647745,0.9244242620823873,0.8866259750392352
Lazerbait,117,1.0,1.0,0.8810754894601939
Le Havre: The Inland Port,9,0.5555555555555556,0.7777777777777778,0.6388888888888888
Lead and Gold - Gangs of the Wild West,640,0.409375,0.7046875,0.6754363556369231
Leadwerks Game Launcher,19,0.6842105263157895,0.8421052631578947,0.7032665109899359
League of Mermaids,15,0.4666666666666667,0.7333333333333333,0.6320587296973159
Leap of Fate,105,0.8857142857142857,0.9428571428571428,0.8340679291117097
Learn Japanese To Survive - Hiragana Battle,557,0.9174147217235189,0.9587073608617595,0.8903608374298859
Leave Me Alone: A Trip To Hell,7,0.42857142857142855,0.7142857142857143,0.5996985309510746
Leave The Nest,7,0.7142857142857143,0.8571428571428571,0.666164218251791
Lectrovolt II,5,0.2,0.6,0.5416886451221723
Led It Rain,6,-0.3333333333333333,0.3333333333333333,0.4261121630785418
Left 4 Dead,4706,0.8767530811729707,0.9383765405864853,0.9040016649960805
Left 4 Dead 2,50980,0.8510396233817183,0.9255198116908592,0.9092325276629949
Left Alone,153,0.49019607843137253,0.7450980392156863,0.691292066904846
Left in the Dark: No One on Board,124,0.5,0.75,0.6915604051294955
Legacy of Kain: Defiance,178,0.797752808988764,0.898876404494382,0.8151886320375379
Legacy of Kain: Soul Reaver,356,0.4157303370786517,0.7078651685393258,0.672436729353976
Legacy of Kain: Soul Reaver 2,122,0.47540983606557374,0.7377049180327869,0.6818689512019962
Legena: Union Tides,6,1.0,1.0,0.7216635107643746
Legend,15,-0.2,0.4,0.4434034015582932
Legend of Dungeon,918,0.5185185185185185,0.7592592592592593,0.7260172381985386
Legend of Fae,64,0.625,0.8125,0.7235576250623996
Legend of Grimrock,1153,0.738074588031223,0.8690372940156115,0.8248543698188497
Legend of Grimrock 2,1137,0.8117854001759015,0.9058927000879508,0.8570925959496605
Legend of Merchant,17,0.4117647058823529,0.7058823529411765,0.6196352638499918
Legend of Miro,8,0.5,0.75,0.6209718738361584
Legend of Mysteria,124,0.5967741935483871,0.7983870967741935,0.7286366125739139
Legend of Numbers,25,0.28,0.64,0.5874976654674363
Legend: Hand of God,4,0.0,0.5,0.5
Legendary,920,0.002173913043478261,0.5010869565217392,0.5009476789748085
Legends of Aethereus,149,-0.46308724832214765,0.2684563758389262,0.3196910624849195
Legends of Atlantis: Exodus,19,0.6842105263157895,0.8421052631578947,0.7032665109899359
Legends of Callasia,149,0.6912751677852349,0.8456375838926175,0.7691568197688883
Legends of Dawn Reborn,38,-0.2631578947368421,0.3684210526315789,0.41209558222032183
Legends of Eisenwald,330,0.40606060606060607,0.703030303030303,0.6676291789070072
Legends of Persia,61,-0.639344262295082,0.18032786885245902,0.27261499323926397
Legends of Solitaire: Curse of the Dragons,42,0.6666666666666666,0.8333333333333334,0.7258958706514889
Legends of the Universe - StarCore,11,0.2727272727272727,0.6363636363636364,0.5718230884388454
Legions of Ashworld,21,0.3333333333333333,0.6666666666666666,0.6009403559126393
Legions of Steel,23,0.4782608695652174,0.7391304347826086,0.6472654792039028
